1497 10000
901 228 748
774 546 389
1221 1103 820
563 860 289
70 279 109
879 490 936
645 1295 737
1004 914 362
307 985 22
192 1265 567
1091 1104 727
1226 639 335
689 1004 108
588 1333 204
244 1068 282
1213 600 878
138 848 672
1385 325 618
1232 1217 39
848 563 81
18 581 561
292 1063 947
1231 680 818
266 1279 274
266 794 239
675 240 286
1114 1183 829
1423 1091 67
428 119 399
184 395 56
1423 1136 951
320 337 143
675 671 360
276 862 724
88 860 804
812 640 278
192 1128 311
1127 1213 95
115 975 501
110 652 204
1437 675 406
1337 1329 349
320 870 427
1143 661 957
878 1194 706
705 425 298
1183 1219 448
397 745 899
1028 553 870
755 88 383
985 105 247
1213 754 210
326 447 116
307 1127 683
244 744 850
1051 428 221
5 1087 826
1166 533 649
1176 1091 603
1446 1439 524
486 798 224
946 1130 987
1439 581 921
652 1099 793
421 138 504
965 1005 662
289 335 146
276 829 796
988 1437 11
759 1143 459
520 1410 181
138 675 311
851 7 747
1026 1127 367
1446 138 190
1480 1166 650
1398 307 611
1232 879 123
225 574 643
1368 279 333
774 70 727
63 268 937
244 860 677
600 63 893
47 1385 627
387 192 919
936 743 940
70 1492 163
594 648 412
412 853 488
421 307 966
1008 755 754
1251 588 482
1446 1166 669
1461 276 468
266 683 438
856 675 295
1068 1100 518
486 1037 381
47 680 915
703 1279 954
1128 105 355
739 1005 932
1095 91 887
664 953 201
105 573 967
421 1028 167
91 856 962
588 1143 40
574 244 863
618 580 117
266 884 396
573 70 317
600 149 30
291 1028 873
546 1026 399
549 1183 998
1062 264 733
115 464 54
103 705 858
486 744 161
774 119 26
244 1026 983
447 1232 890
755 1189 689
1480 581 798
361 336 643
755 91 597
307 397 451
754 511 818
930 669 979
648 566 423
804 580 228
759 626 832
421 279 35
304 804 702
829 138 507
578 795 648
652 703 197
520 115 512
494 415 704
159 1166 139
352 880 931
884 1461 920
1180 953 958
253 119 728
115 1295 63
829 879 412
813 1166 158
785 799 641
456 1261 994
64 520 451
1366 1232 702
159 228 515
578 1131 421
244 110 801
942 805 408
1023 149 540
1215 435 53
848 1461 723
233 266 727
1377 340 476
755 588 556
134 754 674
645 1333 776
580 563 5
916 192 759
656 901 961
744 307 993
189 278 441
320 703 681
848 1001 824
822 252 179
661 486 634
1231 1341 961
533 241 75
47 772 373
669 1016 462
320 192 978
600 822 22
781 923 319
1366 669 407
1104 1127 229
1091 754 149
527 134 653
225 1366 671
1423 1189 990
268 777 315
600 368 1000
527 798 49
370 576 262
710 1063 345
1023 772 190
455 397 642
666 53 967
920 251 234
946 1481 742
1128 588 130
1074 1219 959
325 134 225
1153 1063 769
188 745 638
244 745 178
988 563 188
985 995 39
774 225 295
47 921 496
743 326 881
296 742 892
178 914 340
600 1440 570
19 7 957
804 1131 78
916 549 556
134 988 517
511 7 922
1114 276 29
618 1223 836
953 486 881
1128 649 4
241 772 373
879 1223 69
447 370 119
574 279 897
428 1461 95
1128 743 114
996 710 629
1470 224 520
64 985 566
511 70 199
233 879 321
7 813 5
1456 580 505
921 224 18
88 370 796
996 559 950
1068 566 517
387 546 869
804 533 781
266 743 876
733 240 401
1176 829 767
50 695 380
876 600 603
610 63 302
655 1071 429
1305 1016 695
336 785 290
546 292 495
1471 404 9
916 1266 827
675 252 33
1176 7 51
1446 119 975
276 652 804
578 812 757
914 1026 72
944 862 374
1068 774 194
671 192 772
415 549 872
574 921 615
1405 907 501
812 466 94
744 1143 869
110 1077 341
134 47 371
936 1385 38
1091 1023 959
346 1223 300
859 1089 106
70 465 799
1091 927 590
540 292 447
1077 1456 1000
669 276 759
